dataset	classifier	accuracy	precision	recall	f1score	metric	time_budget	full	methods
dataset_60_waveform-5000	 sgd	0.8616	0.861819818104579	0.8616	0.8616000000000001	micro	10	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
dataset_60_waveform-5000	 libsvm_svc	0.856	0.8558874480197887	0.856	0.856	micro	10	False	['decision_tree', 'random_forest', 'libsvm_svc']
dataset_60_waveform-5000	 decision_tree	0.8432	0.843123699897225	0.8432	0.8432	micro	10	False	['decision_tree']
dataset_60_waveform-5000	 random_forest	0.8416	0.842374288644383	0.8416	0.8416	micro	10	False	['random_forest']
dataset_60_waveform-5000	 libsvm_svc	0.8616	0.8628671770467128	0.8616	0.8616000000000001	micro	10	False	['libsvm_svc']
dataset_60_waveform-5000	 sgd	0.8632	0.8640004525295928	0.8632	0.8632	micro	30	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
dataset_60_waveform-5000	 libsvm_svc	0.8736	0.8746228445225194	0.8736	0.8736000000000002	micro	30	False	['decision_tree', 'random_forest', 'libsvm_svc']
dataset_60_waveform-5000	 decision_tree	0.8496	0.851368649000692	0.8496	0.8496	micro	30	False	['decision_tree']
dataset_60_waveform-5000	 random_forest	0.856	0.8601077423588924	0.856	0.856	micro	30	False	['random_forest']
dataset_60_waveform-5000	 libsvm_svc	0.8576	0.860603444680864	0.8576	0.8576	micro	30	False	['libsvm_svc']
dataset_60_waveform-5000	 libsvm_svc	0.8592	0.8602251659487783	0.8592	0.8592000000000001	micro	60	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
dataset_60_waveform-5000	 libsvm_svc	0.8568	0.8575720559109301	0.8568	0.8568	micro	60	False	['decision_tree', 'random_forest', 'libsvm_svc']
dataset_60_waveform-5000	 decision_tree	0.8384	0.8393132110840567	0.8384	0.8384	micro	60	False	['decision_tree']
dataset_60_waveform-5000	 random_forest	0.8664	0.8686033498929843	0.8664	0.8664	micro	60	False	['random_forest']
dataset_60_waveform-5000	 libsvm_svc	0.8728	0.8745345076474563	0.8728	0.8727999999999999	micro	60	False	['libsvm_svc']
dataset_60_waveform-5000	 passive_aggressive	0.8696	0.8700101859949247	0.8696	0.8695999999999999	micro	10	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
dataset_60_waveform-5000	 libsvm_svc	0.86	0.8601487667823084	0.86	0.8599999999999999	micro	10	False	['decision_tree', 'random_forest', 'libsvm_svc']
dataset_60_waveform-5000	 decision_tree	0.852	0.852457768603741	0.852	0.852	micro	10	False	['decision_tree']
dataset_60_waveform-5000	 random_forest	0.844	0.8489132153074064	0.844	0.844	micro	10	False	['random_forest']
dataset_60_waveform-5000	 libsvm_svc	0.8544	0.8581545137089395	0.8544	0.8544	micro	10	False	['libsvm_svc']
dataset_60_waveform-5000	 passive_aggressive	0.8656	0.8655912360205293	0.8656	0.8656	micro	30	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
