dataset,accuracy_1,accuracy_2,accuracy_3,accuracy_mean,accuracy_std,error_1,error_2,error_3,f1score_1,f1score_2,f1score_3,f1score_mean,f1score_std,model_1,model_2,model_3,precision_1,precision_2,precision_3,precision_mean,precision_std,recall_1,recall_2,recall_3,recall_mean,recall_std,time_1,time_2,time_3
AP_Breast_Lung,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,1809.7591013908386,1829.953579187393,1838.14377450943
AP_Omentum_Ovary,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,1801.2719597816467,1886.7662072181704,1801.907734632492
AP_Prostate_Ovary,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716,1.1102230246251563e-16,,,,0.9848445844173628,0.9848445844173628,0.9848445844173628,0.9848445844173628,0.0,"Pipeline(memory=None,
     steps=[('extratreesclassifier', ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.9500000000000001,
           max_leaf_nodes=None, min_impurity_decrease=0.0,
           min_impurity_split=None, min_samples_leaf=17,
           min_samples_split=15, min_weight_fraction_leaf=0.0,
           n_estimators=100, n_jobs=None, oob_score=False,
           random_state=None, verbose=0, warm_start=False))])","Pipeline(memory=None,
     steps=[('extratreesclassifier', ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=None, max_features=0.6000000000000001,
           max_leaf_nodes=None, min_impurity_decrease=0.0,
           min_impurity_split=None, min_samples_leaf=20,
           min_samples_split=11, min_weight_fraction_leaf=0.0,
           n_estimators=100, n_jobs=None, oob_score=False,
           random_state=None, verbose=0, warm_start=False))])","Pipeline(memory=None,
     steps=[('extratreesclassifier', ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.9000000000000001,
           max_leaf_nodes=None, min_impurity_decrease=0.0,
           min_impurity_split=None, min_samples_leaf=11,
           min_samples_split=11, min_weight_fraction_leaf=0.0,
           n_estimators=100, n_jobs=None, oob_score=False,
           random_state=None, verbose=0, warm_start=False))])",0.9853459972862958,0.9853459972862958,0.9853459972862958,0.9853459972862958,0.0,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716,1.1102230246251563e-16,1805.461100578308,1808.2340245246887,1832.8612132072449
AirlinesCodrnaAdult,,,,,,Timeout,Timeout,Timeout,,,,,,,,,,,,,,,,,,,1980.0007936954496,5305.060722351074,3303.841462373733
Amazon,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,1947.4314260482788,1966.9131050109866,1939.1220798492432
CovPokElec,,,,,,Timeout,Timeout,Timeout,,,,,,,,,,,,,,,,,,,1980.00075507164,1980.0010509490967,2771.7635822296143
GCM,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,1980.0011579990387,,
KDDCup99,,,,,,Timeout,Timeout,Timeout,,,,,,,,,,,,,,,,,,,1989.4660322666168,1980.0007934570312,1995.5377988815308
MagicTelescope,0.8763406940063091,,,0.8763406940063091,0.0,,,,0.8737875069017941,,,0.8737875069017941,0.0,"Pipeline(memory=None,
     steps=[('xgbclassifier', XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=6, min_child_weight=12, missing=None, n_estimators=100,
       n_jobs=1, nthread=1, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=0.9000000000000001))])",,,0.8765920923841775,,,0.8765920923841775,0.0,0.8763406940063091,,,0.8763406940063091,0.0,1805.1449663639069,,
aaaData_for_UCI_named,1.0,,,1.0,0.0,,,,1.0,,,1.0,0.0,"Pipeline(memory=None,
     steps=[('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=9,
              max_features=0.35000000000000003, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
...15000000000000002, tol=0.0001,
              validation_fraction=0.1, verbose=0, warm_start=False))])",,,1.0,,,1.0,0.0,1.0,,,1.0,0.0,1803.6409635543826,,
