dataset,accuracy_1,accuracy_2,accuracy_3,accuracy_mean,accuracy_std,error_1,error_2,error_3,f1score_1,f1score_2,f1score_3,f1score_mean,f1score_std,model_1,model_2,model_3,precision_1,precision_2,precision_3,precision_mean,precision_std,recall_1,recall_2,recall_3,recall_mean,recall_std,time_1,time_2,time_3
leukemia,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.1102230246251563e-16,,,,0.9435154217762912,0.9435154217762912,0.9435154217762912,0.9435154217762912,0.0,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None,
            criterion='entropy', max_depth=None, max_features=0.25,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=19,
            min_samples_split=19, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=None, oob_score=False,
            random_state=None, verbose=0, warm_start=False))])","Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None, criterion='gini',
            max_depth=None, max_features=0.6500000000000001,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=20,
            min_samples_split=11, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=None, oob_score=False,
            random_state=None, verbose=0, warm_start=False))])","Pipeline(memory=None,
     steps=[('selectpercentile', SelectPercentile(percentile=2,
         score_func=<function f_classif at 0x7fbe34bd8f28>)), ('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None, criterion='gini',
            max_depth=None, max_features=0.6000000000000001,
            ma...ors=100, n_jobs=None, oob_score=False,
            random_state=None, verbose=0, warm_start=False))])",0.9490740740740741,0.9490740740740741,0.9490740740740741,0.9490740740740741,0.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.1102230246251563e-16,608.6986377239227,603.5408058166504,610.0987701416017
lymphoma_2classes,,,,,,Timeout,,,,,,,,,,,,,,,,,,,,,660.0007748603822,,
mfeat-pixel,,0.996,0.9940000000000001,0.995,0.0010000000000000009,Timeout,,,,0.9959618618195482,0.9939131486289432,0.9949375052242456,0.0010243565953024225,,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=GaussianNB(priors=None, var_smoothing=1e-09))), ('kneighborsclassifier', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=9, p=2,
           weights='distance'))])","Pipeline(memory=None,
     steps=[('kneighborsclassifier', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=12, p=2,
           weights='uniform'))])",,0.9960176211453744,0.9940395604395604,0.9950285907924674,0.0009890303529069833,,0.996,0.9940000000000001,0.995,0.0010000000000000009,660.0013890266417,601.2586236000061,600.5401816368102
mnist_784,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,648.6019234657288,613.3250558376312,604.745902299881
openml_phpJNxH0q,0.96,0.9542857142857144,0.9485714285714286,0.9542857142857144,0.0046656947481584,,,,0.9597105054845642,0.9542857142857144,0.9484523676167006,0.9541495291289932,0.004597124235913815,"Pipeline(memory=None,
     steps=[('featureagglomeration', FeatureAgglomeration(affinity='cosine', compute_full_tree='auto',
           connectivity=None, linkage='average', memory=None, n_clusters=2,
           pooling_func=<function mean at 0x7f5cea9e8400>)), ('stackingestimator', StackingEstimator(estimator=GaussianNB(prio...i',
           metric_params=None, n_jobs=None, n_neighbors=68, p=1,
           weights='uniform'))])","Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.01, max_delta_step=0,
       max_depth=6, min_child_weight=2, missing=None, n_estimators=100,
       n_jobs=1, nthread=1, ...c=<function mean at 0x7f1218121400>)), ('gaussiannb', GaussianNB(priors=None, var_smoothing=1e-09))])","Pipeline(memory=None,
     steps=[('featureagglomeration', FeatureAgglomeration(affinity='euclidean', compute_full_tree='auto',
           connectivity=None, linkage='ward', memory=None, n_clusters=2,
           pooling_func=<function mean at 0x7f18d7779400>)), ('gaussiannb', GaussianNB(priors=None, var_smoothing=1e-09))])",0.9600734618916438,0.9542857142857144,0.9484033613445381,0.9542541791739656,0.004764350780700672,0.96,0.9542857142857144,0.9485714285714286,0.9542857142857144,0.0046656947481584,600.8024654388428,600.8947701454163,600.7565805912018
page-blocks,0.97881665449233,,,0.97881665449233,0.0,,,,0.9787189042467248,,,0.9787189042467248,0.0,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None,
            criterion='entropy', max_depth=None,
            max_features=0.6000000000000001, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=5, min_samples_split=9,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,,0.9786446106041468,,,0.9786446106041468,0.0,0.97881665449233,,,0.97881665449233,0.0,609.9608519077301,,
php0FyS2T,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,660.0007019042969,,
php3CTpvq,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,Timeout,,,,,,,,,,,,,,,,,,,607.4608669281007,613.1504912376404,660.0007061958312
php5OMDBD,1.0,,,1.0,0.0,,,,1.0,,,1.0,0.0,"Pipeline(memory=None,
     steps=[('extratreesclassifier', ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=1.0, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=9,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=None,
           oob_score=False, random_state=None, verbose=0, warm_start=False))])",,,1.0,,,1.0,0.0,1.0,,,1.0,0.0,603.7099869251251,,
php5s7Ep8,0.8106995884773662,,,0.8106995884773662,0.0,,,,0.8086623864521606,,,0.8086623864521606,0.0,"Pipeline(memory=None,
     steps=[('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=7,
              max_features=0.9000000000000001, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
 ...    subsample=0.8, tol=0.0001, validation_fraction=0.1,
              verbose=0, warm_start=False))])",,,0.8140402469441654,,,0.8140402469441654,0.0,0.8106995884773662,,,0.8106995884773662,0.0,609.9803915023804,,
php7KLval,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,660.0007648468018,,
phpB0xrNj,,,,,,Timeout,Timeout,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,660.0006966590881,660.0007379055022,608.9170031547546
phpCsX3fx,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,658.4460618495941,,
phpEZ030X,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,624.0301620960237,,
phpGReJjU,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,Timeout,,,,,,,,,,,,,,,,,,,651.8913419246674,619.2679924964905,660.0007181167603
phpGUrE90,0.8787878787878788,,,0.8787878787878788,0.0,,,,0.8790497729938436,,,0.8790497729938436,0.0,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.9000000000000001,
           max_leaf_nodes=None, min_impurity_decrease=0.0,
           min_impurity_split=None, min_samples...     reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=0.55))])",,,0.8794174844088786,,,0.8794174844088786,0.0,0.8787878787878788,,,0.8787878787878788,0.0,602.9322426319122,,
phpHyLSNF,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,645.7917475700377,,
phpN4gaxw,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,650.1786189079285,,
phpNevWWL,0.7114285714285714,,,0.7114285714285714,0.0,,,,0.6999193164740045,,,0.6999193164740045,0.0,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features=0.6000000000000001,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=12,
            min_samples_split=6, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=None, oob_score=False,
            random_state=None, verbose=0, warm_start=False))])",,,0.7072364165407643,,,0.7072364165407643,0.0,0.7114285714285714,,,0.7114285714285714,0.0,622.8918943405151,,
phpPbCMyg,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,623.1076023578644,,
phpSZJq5T,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,660.0011606216432,,
phpTJRsqa,0.686530612244898,,,0.686530612244898,0.0,,,,0.6741444597363679,,,0.6741444597363679,0.0,"Pipeline(memory=None,
     steps=[('robustscaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)), ('extratreesclassifier', ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=None, max_features=0.15000000000000002,
           ma...tors=100, n_jobs=None, oob_score=False,
           random_state=None, verbose=0, warm_start=False))])",,,0.705538268005615,,,0.705538268005615,0.0,0.686530612244898,,,0.686530612244898,0.0,609.2091789245604,,
phpVeNa5j,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,660.0008869171143,,
phpWfYmlu,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,613.1153919696808,601.1536390781403,603.7670650482178
phpYLeydd,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,660.0010380744934,,
phpZrCzJR,0.992156862745098,,,0.992156862745098,0.0,,,,0.9912466099317312,,,0.9912466099317312,0.0,"Pipeline(memory=None,
     steps=[('decisiontreeclassifier', DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=2,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=7, min_samples_split=20,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",,,0.9917189550451412,,,0.9917189550451412,0.0,0.992156862745098,,,0.992156862745098,0.0,601.0267655849458,,
phpbL6t4U,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,616.4074101448059,,
phpchCuL5,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,660.0009620189668,,
phpdReP6S,0.9321766561514196,,,0.9321766561514196,0.0,,,,0.9119828993130186,,,0.9119828993130186,0.0,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=None, max_features=0.6000000000000001,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=2,
            min_samples_split=4, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=None, oob_score=False,
            random_state=None, verbose=0, warm_start=False))])",,,0.9093211599126424,,,0.9093211599126424,0.0,0.9321766561514196,,,0.9321766561514196,0.0,618.1217882633208,,
phpfLuQE4,,,,,,Timeout,A pipeline has not yet been optimized. Please call fit() first.,Timeout,,,,,,,,,,,,,,,,,,,660.0007390975952,623.5992724895477,660.0007438659667
phpfrJpBS,1.0,,,1.0,0.0,,,,1.0,,,1.0,0.0,"Pipeline(memory=None,
     steps=[('standardscaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=1.0, loss='deviance', max_depth=5,
              max_features=0.35000000000000003, max_leaf_...    subsample=0.4, tol=0.0001, validation_fraction=0.1,
              verbose=0, warm_start=False))])",,,1.0,,,1.0,0.0,1.0,,,1.0,0.0,608.0409550666809,,
phphQEck0,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,624.2520217895508,,
phpkIxskf,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,624.5246829986572,,
phpmPOD5A,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,660.0012066364287,,
phpn1jVwe,0.9817596566523604,,,0.9817596566523604,0.0,,,,0.9795495689705932,,,0.9795495689705932,0.0,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=None, max_features=0.6500000000000001,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=2,
            min_samples_split=13, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=None, oob_score=False,
            random_state=None, verbose=0, warm_start=False))])",,,0.9795660247727408,,,0.9795660247727408,0.0,0.9817596566523604,,,0.9817596566523604,0.0,645.9910712242126,,
phpoOxxNn,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,660.0007250308989,,
phpoW7Dbi,1.0,,,1.0,0.0,,,,1.0,,,1.0,0.0,"Pipeline(memory=None,
     steps=[('normalizer', Normalizer(copy=True, norm='max')), ('extratreesclassifier', ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=None, max_features=1.0, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=9, min_samples_split=6,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=None,
           oob_score=False, random_state=None, verbose=0, warm_start=False))])",,,1.0,,,1.0,0.0,1.0,,,1.0,0.0,636.8517732620238,,
phprAeXmK,,,,,,A pipeline has not yet been optimized. Please call fit() first.,Timeout,Timeout,,,,,,,,,,,,,,,,,,,646.5995573997498,660.0007634162903,660.0008533000946
phptd5jYj,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,602.7286705970763,,
phpvcoG8S,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,660.0013039112091,,
phpvtdNPU,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,681.1221137046814,,
phpxijhaP,0.982162162162162,,,0.982162162162162,0.0,,,,0.982161687852914,,,0.982161687852914,0.0,"Pipeline(memory=None,
     steps=[('gaussiannb', GaussianNB(priors=None, var_smoothing=1e-09))])",,,0.9821893400369772,,,0.9821893400369772,0.0,0.982162162162162,,,0.982162162162162,0.0,611.5396852493286,,
pokerhand-normalized,,,,,,Timeout,Timeout,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,660.0008294582368,660.001403093338,607.8912591934204
schizo,0.9529411764705882,,,0.9529411764705882,0.0,,,,0.9532879818594104,,,0.9532879818594104,0.0,"Pipeline(memory=None,
     steps=[('featureagglomeration', FeatureAgglomeration(affinity='l1', compute_full_tree='auto',
           connectivity=None, linkage='complete', memory=None,
           n_clusters=2, pooling_func=<function mean at 0x7fd3cec91400>)), ('stackingestimator', StackingEstimator(estimator=ExtraTreesClassifi...',
           metric_params=None, n_jobs=None, n_neighbors=33, p=1,
           weights='distance'))])",,,0.9578947368421052,,,0.9578947368421052,0.0,0.9529411764705882,,,0.9529411764705882,0.0,600.9440751075745,,
shuttle,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,,,,,,,,,,,,618.5288100242615,,
solar-flare_1,0.7468354430379747,,,0.7468354430379747,0.0,,,,0.7351535146781578,,,0.7351535146781578,0.0,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=BernoulliNB(alpha=0.1, binarize=0.0, class_prior=None, fit_prior=True))), ('randomforestclassifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features=0.35000000000000003,
    ...ors=100, n_jobs=None, oob_score=False,
            random_state=None, verbose=0, warm_start=False))])",,,0.7242616033755275,,,0.7242616033755275,0.0,0.7468354430379747,,,0.7468354430379747,0.0,601.3224668502808,,
synthetic_control,0.98,,,0.98,0.0,,,,0.9799346082519028,,,0.9799346082519028,0.0,"Pipeline(memory=None,
     steps=[('extratreesclassifier', ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.5, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=3, min_samples_split=7,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=None,
           oob_score=False, random_state=None, verbose=0, warm_start=False))])",,,0.9810897435897435,,,0.9810897435897435,0.0,0.98,,,0.98,0.0,600.7912805080414,,
umistfacescropped,,,,,,Timeout,Timeout,Timeout,,,,,,,,,,,,,,,,,,,660.0008056163788,660.0009715557097,660.000949382782
vowel,1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,1.0,1.0,0.0,"Pipeline(memory=None,
     steps=[('kneighborsclassifier', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=2, p=2,
           weights='distance'))])","Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=1, p=2,
           weights='distance'))), ('randomforestclassifier', RandomForestClassifier(bootstrap=False, class...obs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])","Pipeline(memory=None,
     steps=[('kneighborsclassifier', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=2, p=2,
           weights='distance'))])",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,601.4462220668793,601.0549247264863,603.9216065406798
wine-quality-red,0.6925,0.705,0.6675,0.6883333333333334,0.015590239111558084,,,,0.6726152667275336,0.681900623885918,0.6488343401333598,0.6677834102489371,0.013924915513172513,"Pipeline(memory=None,
     steps=[('standardscaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('kneighborsclassifier', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=65, p=1,
           weights='distance'))])","Pipeline(memory=None,
     steps=[('extratreesclassifier', ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.8500000000000001,
           max_leaf_nodes=None, min_impurity_decrease=0.0,
           min_impurity_split=None, min_samples_leaf=3,
           min_samples_split=2, min_weight_fraction_leaf=0.0,
           n_estimators=100, n_jobs=None, oob_score=False,
           random_state=None, verbose=0, warm_start=False))])","Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None,
            criterion='entropy', max_depth=None, max_features=0.2,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=3,
            min_samples_split=4, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=None, oob_score=False,
            random_state=None, verbose=0, warm_start=False))])",0.6611860141357891,0.6668571428571428,0.6380527209447702,0.6553652926459007,0.012458846373123273,0.6925,0.705,0.6675,0.6883333333333334,0.015590239111558084,606.7690012454988,602.6611430644989,601.7606205940248
