,error_1,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std
synthetic_control,A pipeline has not yet been optimized. Please call fit() first.,1980.0030233860016,,,,,,,,,,,,,
phpfrJpBS,A pipeline has not yet been optimized. Please call fit() first.,1980.0036661624908,,,,,,,,,,,,,
dataset_9_autos,A pipeline has not yet been optimized. Please call fit() first.,1980.00164103508,,,,,,,,,,,,,
dataset_185_yeast,A pipeline has not yet been optimized. Please call fit() first.,1980.001808166504,,,,,,,,,,,,,
phpB0xrNj,This SVC instance is not fitted yet. Call 'fit' with appropriate arguments before using this method.,1980.0012259483337,,,,,,,,,,,,,
dataset_189_baseball,A pipeline has not yet been optimized. Please call fit() first.,1980.0064849853516,,,,,,,,,,,,,
phpSZJq5T,A pipeline has not yet been optimized. Please call fit() first.,1980.0013468265533,,,,,,,,,,,,,
shuttle,A pipeline has not yet been optimized. Please call fit() first.,1980.0013208389282,,,,,,,,,,,,,
devnagari,A pipeline has not yet been optimized. Please call fit() first.,1980.0014460086823,,,,,,,,,,,,,
mnist_784,A pipeline has not yet been optimized. Please call fit() first.,1980.001485824585,,,,,,,,,,,,,
cifar-10,A pipeline has not yet been optimized. Please call fit() first.,1980.001627445221,,,,,,,,,,,,,
phpTJRsqa,A pipeline has not yet been optimized. Please call fit() first.,1980.001244544983,,,,,,,,,,,,,
php3CTpvq,A pipeline has not yet been optimized. Please call fit() first.,1980.0012152194977,,,,,,,,,,,,,
CovPokElec,A pipeline has not yet been optimized. Please call fit() first.,1910.4736478328705,,,,,,,,,,,,,
dataset_187_abalone,A pipeline has not yet been optimized. Please call fit() first.,1980.006296634674,,,,,,,,,,,,,
dataset_186_satimage,A pipeline has not yet been optimized. Please call fit() first.,1980.0016877651215,,,,,,,,,,,,,
dataset_28_optdigits,,1847.7002568244934,0.9701067615658363,0.9701067615658363,0.9701067615658363,0.9701067615658363,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fae939acdd0>, inv_kw_args=None,
          inverse_func=None,...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9701067615658363,0.0,0.9701067615658363,0.0,0.9701067615658363,0.0,0.9701067615658363,0.0
phpvtdNPU,,1825.6900370121002,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=Non...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.7916666666666666,0.0,0.7916666666666666,0.0,0.7916666666666666,0.0,0.7916666666666666,0.0
phpGReJjU,,1808.5050330162048,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f9e20ad5dd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
