,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,error_1
lymphoma_2classes,1858.3163344860077,0.6666666666666666,1.0,0.42857142857142855,0.6,"Pipeline(memory=None,
     steps=[('stackingestimator-1', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))), ('stackingest...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.6666666666666666,0.0,1.0,0.0,0.42857142857142855,0.0,0.6,0.0,
schizo,1801.3369102478027,0.8823529411764706,0.8163265306122449,0.975609756097561,0.888888888888889,"Pipeline(memory=None,
     steps=[('stackingestimator-1', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))), ('stackingest...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.8823529411764706,0.0,0.8163265306122449,0.0,0.975609756097561,0.0,0.888888888888889,0.0,
jm1,1831.3817517757416,0.7421013960323292,0.34637964774951074,0.3247706422018349,0.3352272727272727,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fe9d48b3dd0>, inv_kw_args=None,
          inverse_func=Non...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.7421013960323292,0.0,0.34637964774951074,0.0,0.3247706422018349,0.0,0.3352272727272727,0.0,
AP_Omentum_Ovary,1804.1526577472687,0.8260869565217391,0.8245614035087719,0.9591836734693877,0.8867924528301887,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.8260869565217391,0.0,0.8245614035087719,0.0,0.9591836734693877,0.0,0.8867924528301887,0.0,
leukemia,1980.001600265503,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.
phpfLuQE4,1809.9447677135468,0.7938461538461539,0.8103975535168195,0.7863501483679525,0.7981927710843373,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f6be6992dd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.7938461538461539,0.0,0.8103975535168195,0.0,0.7863501483679525,0.0,0.7981927710843373,0.0,
dataset_183_adult,1941.7845239639282,0.8234378838751945,0.6378749548247199,0.604659129838986,0.620823074217376,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, m...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.8234378838751945,0.0,0.6378749548247199,0.0,0.604659129838986,0.0,0.620823074217376,0.0,
phpxijhaP,1802.03995013237,0.9778378378378378,0.9708108108108108,0.9846491228070176,0.9776810016330975,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.9778378378378378,0.0,0.9708108108108108,0.0,0.9846491228070176,0.0,0.9776810016330975,0.0,
phpGUrE90,1803.4765691757202,0.8295454545454546,0.8121827411167513,0.9523809523809523,0.8767123287671232,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f44bd3dbdd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.8295454545454546,0.0,0.8121827411167513,0.0,0.9523809523809523,0.0,0.8767123287671232,0.0,
phpkIxskf,1806.0533375740051,0.8987879324073255,0.9189061317183952,0.9712942588517703,0.9443742098609356,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.8987879324073255,0.0,0.9189061317183952,0.0,0.9712942588517703,0.0,0.9443742098609356,0.0,
phpvcoG8S,1980.001371383667,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.
page-blocks,1980.0063064098358,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.
phpmPOD5A,1980.001459121704,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.
phpdo58hj,1806.2105598449707,0.6875,0.6,0.8571428571428571,0.7058823529411764,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f956db24dd0>, inv_kw_args=None,
          inverse_func=None, k...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.6875,0.0,0.6,0.0,0.8571428571428571,0.0,0.7058823529411764,0.0,
phpEZ030X,1801.6473722457886,0.9375,1.0,0.8571428571428571,0.923076923076923,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy a...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9375,0.0,1.0,0.0,0.8571428571428571,0.0,0.923076923076923,0.0,
mfeat-pixel,1980.00634431839,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.
dataset_59_ionosphere,1800.9416801929474,0.9204545454545454,0.8888888888888888,1.0,0.9411764705882353,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f1ae254ddd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9204545454545454,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,
AP_Prostate_Ovary,1808.5022490024567,0.9850746268656716,1.0,0.9230769230769231,0.9600000000000001,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f2c8f5aadd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9850746268656716,0.0,1.0,0.0,0.9230769230769231,0.0,0.9600000000000001,0.0,
phphQEck0,1980.0013399124146,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.
phpoW7Dbi,1806.0707030296326,0.49174917491749176,0.4659090909090909,0.9044117647058824,0.6149999999999999,"Pipeline(memory=None,
     steps=[('stackingestimator-1', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))), ('stackingest...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.49174917491749176,0.0,0.4659090909090909,0.0,0.9044117647058824,0.0,0.6149999999999999,0.0,
aaaData_for_UCI_named,1807.8279995918274,0.9992,1.0,0.9987623762376238,0.9993808049535603,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))), ('randomforestc...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9992,0.0,1.0,0.0,0.9987623762376238,0.0,0.9993808049535603,0.0,
kin8nm,1807.3977279663086,0.88427734375,0.8859060402684564,0.8867562380038387,0.8863309352517986,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f66bd94fdd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.88427734375,0.0,0.8859060402684564,0.0,0.8867562380038387,0.0,0.8863309352517986,0.0,
dataset_24_mushroom,1807.214763879776,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,
