V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,class
0.03125,0.09765599999999999,0.0058590000000000005,0.007812,0.0,0.11327999999999999,0.009766,0.0058590000000000005,0.0058590000000000005,0.021484,0.05859400000000001,0.0,0.11523,0.003906,0.001953,0.0,0.021484,0.011719,0.013672,0.009766,0.0058590000000000005,0.0,0.0,0.0,0.0,0.009766,0.0,0.0,0.027344,0.0058590000000000005,0.001953,0.0,0.042969,0.001953,0.035156,0.056641,0.011719,0.001953,0.0,0.0,0.0,0.035156,0.0,0.0,0.015625,0.0,0.003906,0.001953,0.001953,0.009766,0.060547000000000004,0.0,0.003906,0.0,0.0,0.0,0.011719,0.027344,0.009766,0.019531,0.0,0.001953,0.060547000000000004,0.0,27
0.011719,0.013672,0.021484,0.03125,0.017578,0.003906,0.025391,0.003906,0.0,0.015625,0.011719,0.013672,0.015625,0.0,0.025391,0.0,0.03125,0.017578,0.03125,0.011719,0.033202999999999996,0.0,0.0,0.003906,0.001953,0.027344,0.0,0.013672,0.05859400000000001,0.009766,0.001953,0.0,0.021484,0.001953,0.0058590000000000005,0.044922000000000004,0.009766,0.033202999999999996,0.013672,0.003906,0.001953,0.037108999999999996,0.054688,0.0058590000000000005,0.048827999999999996,0.007812,0.044922000000000004,0.023438,0.0,0.042969,0.037108999999999996,0.0,0.013672,0.0,0.003906,0.0,0.011719,0.041016000000000004,0.017578,0.0058590000000000005,0.003906,0.0,0.009766,0.0,55
0.023438,0.007812,0.027344,0.035156,0.003906,0.0058590000000000005,0.019531,0.0,0.007812,0.03125,0.046875,0.0,0.023438,0.0,0.003906,0.0,0.029297000000000004,0.0625,0.007812,0.027344,0.003906,0.001953,0.0,0.0058590000000000005,0.001953,0.048827999999999996,0.0,0.0058590000000000005,0.046875,0.009766,0.0,0.001953,0.054688,0.007812,0.017578,0.015625,0.019531,0.027344,0.001953,0.001953,0.0,0.007812,0.0,0.003906,0.052734,0.0,0.015625,0.019531,0.0,0.011719,0.035156,0.001953,0.033202999999999996,0.0,0.035156,0.0,0.023438,0.050781,0.054688,0.0,0.0,0.001953,0.015625,0.0,35
0.029297000000000004,0.035156,0.015625,0.019531,0.001953,0.021484,0.027344,0.0,0.003906,0.009766,0.039062,0.001953,0.06640599999999999,0.003906,0.003906,0.0,0.019531,0.037108999999999996,0.013672,0.013672,0.011719,0.003906,0.0,0.021484,0.007812,0.023438,0.001953,0.001953,0.070312,0.007812,0.001953,0.0,0.03125,0.0,0.007812,0.027344,0.001953,0.027344,0.0058590000000000005,0.0,0.0,0.023438,0.041016000000000004,0.0,0.041016000000000004,0.0058590000000000005,0.009766,0.027344,0.0,0.015625,0.048827999999999996,0.0058590000000000005,0.017578,0.003906,0.037108999999999996,0.0058590000000000005,0.013672,0.029297000000000004,0.021484,0.007812,0.0,0.003906,0.021484,0.001953,89
0.027344,0.044922000000000004,0.023438,0.017578,0.001953,0.025391,0.083984,0.0,0.0,0.07421900000000001,0.064453,0.0,0.027344,0.001953,0.0,0.0,0.017578,0.025391,0.003906,0.019531,0.0,0.001953,0.0,0.015625,0.0,0.027344,0.0,0.001953,0.046875,0.027344,0.001953,0.0,0.041016000000000004,0.0058590000000000005,0.015625,0.025391,0.015625,0.003906,0.001953,0.0,0.0,0.025391,0.0,0.011719,0.029297000000000004,0.0,0.003906,0.011719,0.0,0.0,0.054688,0.0,0.025391,0.0,0.023438,0.001953,0.015625,0.041016000000000004,0.035156,0.003906,0.0,0.0,0.023438,0.001953,100
0.009766,0.003906,0.029297000000000004,0.048827999999999996,0.009766,0.003906,0.011719,0.0,0.0058590000000000005,0.015625,0.025391,0.007812,0.021484,0.0,0.013672,0.0,0.003906,0.046875,0.027344,0.013672,0.015625,0.003906,0.0,0.007812,0.001953,0.021484,0.0,0.021484,0.042969,0.003906,0.003906,0.001953,0.011719,0.0,0.007812,0.0058590000000000005,0.009766,0.009766,0.007812,0.003906,0.0,0.064453,0.027344,0.007812,0.054688,0.0,0.021484,0.052734,0.0058590000000000005,0.033202999999999996,0.013672,0.0,0.033202999999999996,0.0,0.021484,0.001953,0.007812,0.05859400000000001,0.07421900000000001,0.017578,0.0,0.0,0.021484,0.001953,77
0.001953,0.0058590000000000005,0.021484,0.0058590000000000005,0.033202999999999996,0.013672,0.009766,0.0,0.015625,0.001953,0.001953,0.029297000000000004,0.007812,0.007812,0.033202999999999996,0.0,0.001953,0.0058590000000000005,0.009766,0.007812,0.033202999999999996,0.019531,0.0,0.017578,0.021484,0.033202999999999996,0.011719,0.017578,0.013672,0.027344,0.035156,0.013672,0.0,0.0,0.007812,0.003906,0.013672,0.033202999999999996,0.039062,0.019531,0.007812,0.0058590000000000005,0.03125,0.021484,0.015625,0.033202999999999996,0.044922000000000004,0.041016000000000004,0.013672,0.033202999999999996,0.011719,0.0,0.050781,0.015625,0.029297000000000004,0.017578,0.0058590000000000005,0.0058590000000000005,0.007812,0.011719,0.001953,0.003906,0.009766,0.003906,90
0.033202999999999996,0.056641,0.019531,0.013672,0.0058590000000000005,0.019531,0.044922000000000004,0.0,0.007812,0.027344,0.054688,0.0,0.068359,0.0,0.001953,0.0,0.013672,0.042969,0.003906,0.027344,0.001953,0.0,0.0,0.009766,0.0,0.029297000000000004,0.0,0.0,0.042969,0.009766,0.0058590000000000005,0.0,0.056641,0.0,0.025391,0.05859400000000001,0.003906,0.0,0.0058590000000000005,0.0,0.001953,0.027344,0.0,0.001953,0.027344,0.003906,0.0,0.0058590000000000005,0.0,0.001953,0.050781,0.003906,0.017578,0.003906,0.029297000000000004,0.001953,0.017578,0.044922000000000004,0.019531,0.009766,0.0,0.0,0.039062,0.0,100
0.013672,0.009766,0.060547000000000004,0.025391,0.035156,0.025391,0.039062,0.0,0.003906,0.023438,0.003906,0.003906,0.025391,0.001953,0.0058590000000000005,0.013672,0.027344,0.007812,0.033202999999999996,0.017578,0.0058590000000000005,0.0,0.015625,0.003906,0.001953,0.025391,0.0,0.046875,0.023438,0.039062,0.007812,0.0,0.007812,0.0,0.03125,0.015625,0.03125,0.019531,0.015625,0.003906,0.013672,0.009766,0.009766,0.029297000000000004,0.03125,0.007812,0.009766,0.0,0.0,0.011719,0.009766,0.0,0.041016000000000004,0.001953,0.011719,0.001953,0.017578,0.0058590000000000005,0.021484,0.056641,0.003906,0.0,0.033202999999999996,0.0,74
0.060547000000000004,0.095703,0.019531,0.015625,0.0,0.19530999999999998,0.001953,0.0,0.0,0.011719,0.070312,0.003906,0.068359,0.0,0.001953,0.0,0.011719,0.027344,0.0058590000000000005,0.009766,0.0,0.0,0.0,0.0,0.0,0.003906,0.0,0.0058590000000000005,0.046875,0.001953,0.0,0.0,0.027344,0.0,0.009766,0.039062,0.001953,0.015625,0.0,0.0,0.0,0.025391,0.017578,0.001953,0.035156,0.0,0.0,0.003906,0.0,0.0,0.048827999999999996,0.0,0.009766,0.0,0.0,0.0,0.019531,0.046875,0.009766,0.009766,0.0,0.0,0.019531,0.0,91
