V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,class
2.0094,0.83152,1.4974,1.4081,1.1637,1.8601,-1.7638,-0.82637,-0.70995,-0.23315999999999998,0.6139399999999999,-0.35963,-0.31865,-0.34210999999999997,-0.15442,-1.492,0.61865,0.58673,0.41921,-0.28811,-0.47803,1.1228,4.3248,1.9269,4.7222,2.4467,3.9758,1.4367,2.5874,1.7339,-0.67335,-0.34210999999999997,-0.09248200000000001,-0.22559,4.5859,2.8633,1.9018,1.4067,1.38,-0.26431,1.8832,-0.16374,-0.11229000000000001,2.4111,0.99018,-0.5454100000000001,2.4793,2.8426,2.2579,-0.46486000000000005,-2.1318,1
-0.76965,0.83152,-0.038120999999999995,-0.67574,-0.8627600000000001,-0.8578600000000001,1.104,-0.28157,0.081413,-0.7775,-0.7995800000000001,-0.31740999999999997,-0.18714,0.30407,-0.16385999999999998,-0.55497,-0.15846,-0.54614,-1.0114,-0.28811,-0.40285,0.020912,-0.022059,-0.4775,-0.4805,-0.42508999999999997,-0.62697,-0.11823,-0.2753,0.25149,-0.54705,0.30407,-0.09248200000000001,-0.22559,-0.020493,-0.09507,-0.37405,-0.6106199999999999,-0.32513000000000003,-0.26431,-0.37128,-0.16374,-0.11229000000000001,-0.2429,0.99018,0.40581,-0.2161,-0.064836,-0.44319,-0.46486000000000005,0.58838,1
-0.12164000000000001,0.34698,-0.39638,-0.088876,0.087687,-0.44783999999999996,0.096947,-0.41777,-0.30669,-0.5053300000000001,-0.45576000000000005,-0.37283,-0.35946999999999996,-0.98829,-0.13053,-0.8681200000000001,-0.122,-0.12130999999999999,-0.12325,0.51334,-0.037877,0.57184,0.68629,0.60446,0.35075,0.18967,0.24628000000000003,-0.055839,0.000865,-0.045005,1.2844,-0.98829,0.050869,-0.22559,0.58034,0.2908,0.15229,0.57794,0.049432,0.27414,0.14620999999999998,0.51981,0.026975,-0.22851999999999997,-1.0798,-0.34668000000000004,-0.2015,-0.046615,0.67193,-0.46486000000000005,-0.53462,4
-0.8093199999999999,-0.82558,-0.5746600000000001,-0.74983,-0.93481,-0.30504000000000003,0.95206,0.39943,0.43083999999999995,-0.36924,-0.68147,-0.26728,-0.14025,0.6520199999999999,-0.16671,0.76499,-0.15924000000000002,-1.1126,-0.6974199999999999,-0.28811,-0.058865,-0.8605799999999999,-0.006092,-0.4775,-0.47686000000000006,-0.6184,-0.49191,-0.11823,-0.18258,-0.24266999999999997,-0.67335,0.6520199999999999,0.050869,-0.22559,-0.020493,-0.09507,-0.40264,-0.61627,-0.36443000000000003,-0.26431,-0.40203,-0.16374,0.026975,-0.5504,-0.024802,-0.508,-0.52841,-0.4545,-0.75616,0.19105999999999998,0.70311,6
0.6318,0.16760999999999998,0.48331999999999997,0.89681,0.70115,-0.6434,-0.37313,0.67183,-0.11648,0.1751,-0.52709,-0.027155000000000002,-0.15597,0.75143,-0.12015999999999999,-0.30839,-0.1542,-0.35731999999999997,0.10371,-0.28811,0.26026,-0.95852,-0.35252,-0.4775,-0.3355,-0.5052399999999999,-0.17534,-0.11823,-0.028647000000000002,-0.44033,-0.67335,0.75143,0.33757,-0.22559,0.17978,0.033554,-0.122,0.24643,-0.078888,-0.26431,-0.1295,0.17804,0.37515,0.096312,0.18464,0.18666,0.092958,0.32078,-0.062438,-0.34783000000000003,0.16917000000000001,4
-0.51839,0.43125,-0.4986,-0.39309,-0.48333000000000004,-0.64226,0.68166,-0.28157,-0.20409000000000002,2.3525,1.0048,1.3608,0.25886,0.75143,-0.18204,0.26721999999999996,-0.15758,0.58673,0.13121,-0.28811,-0.25405,-1.3013,-1.1081,-0.4775,-0.54196,-0.91991,-0.80386,-0.11823,-0.27271999999999996,-0.44033,-0.67335,0.75143,0.050869,-0.22559,-0.42105,-0.35231999999999997,-0.27238,-0.32149,-0.22918000000000002,-0.26431,-0.26948,-0.16374,0.026975,-0.41226,0.29884,-0.10063,-0.38811,-0.32621999999999995,-0.35263,-0.27919,0.44043999999999994,6
-0.82835,-0.027723,-0.6367,-0.9992200000000001,-1.033,1.5677,0.30746,0.53563,-0.16321,-0.64141,-0.7459600000000001,-0.25408000000000003,-0.36766,0.75143,-0.12580999999999998,0.52446,-0.15905999999999998,-0.70062,-0.13043,-1.7453,-0.35458,-0.7136600000000001,-0.14069,-0.4775,-0.4471,-0.3438,-0.11382,-0.14659,-0.26348,-0.44033,-0.67335,0.75143,-0.09248200000000001,-0.22559,-0.42105,-0.35231999999999997,-0.40264,-0.62287,-0.35980999999999996,0.5972,-0.39779000000000003,-0.16374,-0.11229000000000001,-0.5124,0.016943,-0.39824,-0.55678,-0.4899,-0.6056199999999999,2.7052,-0.21681,1
1.2308,0.83152,-0.51883,1.2535,1.0133,0.14717,-0.9603200000000001,-0.55397,-0.55033,0.44727,1.8026,-0.24881,-0.08838,-1.5848,-0.16887,0.51388,-0.1372,0.58673,2.4544,-0.28811,0.8617,0.020912,-1.2826,-1.0021,-0.9413299999999999,0.18967,0.033089999999999994,-0.14759,-0.26366999999999996,-0.44033,2.2949,-1.5848,-0.09248200000000001,-0.22559,-0.42105,-0.35231999999999997,-0.24166999999999997,-0.26874000000000003,-0.18293,0.70489,-0.2366,-0.16374,-0.11229000000000001,-0.57834,0.99018,-0.5454100000000001,-0.55678,-0.4899,-0.78459,-0.46486000000000005,0.93219,1
-1.1052,-0.82558,1.5842,-1.0652,-1.0611,1.0927,0.5181600000000001,0.39943,0.46276000000000006,-0.7775,-1.2626,-0.29894,-0.23101999999999998,0.75143,-0.12761,0.72831,-0.15911,-0.54614,-0.9552799999999999,-0.28811,0.045027,0.020912,-0.8698600000000001,-0.4775,-0.38181,-0.33726,-0.63008,-0.11823,-0.16175,-0.44033,-0.67335,0.75143,-0.09248200000000001,-0.22559,-0.42105,-0.35231999999999997,-0.40158,-0.59555,-0.35286999999999996,-0.26431,-0.39673,-0.16374,-0.11229000000000001,-0.57834,-1.1854,1.439,-0.55678,-0.4899,-0.52455,3.1343,-0.42958999999999997,1
-0.47565,0.43977,-0.5089199999999999,-0.35475999999999996,-0.43549,-0.61817,0.62963,-0.28157,-0.22995,2.3525,1.2677,1.3608,0.41161000000000003,0.6520199999999999,-0.11822,0.5899399999999999,-0.15723,0.58673,0.38576,0.9942200000000001,0.091696,0.020912,0.014203,-0.30438000000000004,0.14533,0.18967,0.2453,-0.088506,0.12259,-0.24266999999999997,-0.67335,0.6520199999999999,0.050869,-0.22559,-0.22077,-0.22369,-0.26708000000000004,-0.26309,-0.22339,-0.26431,-0.26524000000000003,-0.16374,0.026975,-0.57834,-0.0031420000000000003,-0.3176,-0.55678,-0.4899,-0.56197,-0.30183000000000004,0.65818,6
