Player,Number_seasons,Games_played,At_bats,Runs,Hits,Doubles,Triples,Home_runs,RBIs,Walks,Strikeouts,Batting_average,On_base_pct,Slugging_pct,Fielding_ave,Position,class
FRED_SCHULTE,11,1179,4259,686,1241,249,54,47,593,462,361,0.29100000000000004,0.36200000000000004,0.408,0.976,Outfield,0
CHARLIE_MAXWELL,14,1133,3245,478,856,110,26,148,532,484,545,0.264,0.363,0.451,0.988,Outfield,0
DAVE_DUNCAN,11,929,2885,274,617,79,4,109,341,252,677,0.214,0.28,0.35700000000000004,0.9840000000000001,Catcher,0
JAKE_DAUBERT,15,2014,7673,1117,2326,250,165,56,722,623,489,0.303,0.36,0.401,0.991,First_base,0
ALAN_BANNISTER,12,972,3007,430,811,143,28,19,288,292,318,0.27,0.337,0.355,0.983,Outfield,0
MIKE_SCHMIDT,18,2404,8352,1506,2234,408,59,548,1595,1507,1883,0.267,0.384,0.527,0.955,Third_base,1
RAY_HAYWORTH,15,699,2062,220,546,92,16,5,238,198,188,0.265,0.331,0.332,0.987,Catcher,0
TOMMY_McCARTHY,13,1275,5128,1069,1496,192,53,44,666,537,163,0.292,0.364,0.376,0.897,Outfield,2
TIP_ONEILL,10,1054,4255,880,1386,222,92,52,435,421,146,0.326,0.392,0.45799999999999996,0.917,Outfield,0
ED_McFARLAND,14,894,3007,398,826,146,49,13,383,254,19,0.275,0.335,0.369,0.9670000000000001,Catcher,0
AL_SIMMONS,20,2215,8759,1507,2927,539,149,307,1827,615,737,0.33399999999999996,0.38,0.535,0.982,Outfield,1
JIM_LEMON,12,1010,3445,446,901,121,35,164,529,363,787,0.262,0.335,0.46,0.961,Outfield,0
JOHNNY_ROSEBORO,14,1585,4847,512,1206,190,44,104,548,547,677,0.249,0.32899999999999996,0.371,0.9890000000000001,Catcher,0
HARRY_SPILMAN,12,563,810,96,192,34,1,18,117,81,126,0.237,0.309,0.348,0.991,First_base,0
TY_CLINE,12,892,1834,251,437,53,25,6,125,153,262,0.23800000000000002,0.304,0.304,0.986,Outfield,0
ROCKY_BRIDGES,11,919,2272,245,562,80,11,16,187,205,229,0.247,0.312,0.313,0.968,Shortstop,0
SHANO_COLLINS,16,1799,6390,747,1687,310,133,22,709,331,405,0.264,0.306,0.364,0.9620000000000001,Outfield,0
GUS_SUHR,11,1435,5176,714,1446,288,114,84,818,718,433,0.27899999999999997,0.368,0.428,0.992,First_base,0
CHARLIE_BERRY,11,709,2018,196,539,88,29,23,256,160,196,0.267,0.322,0.374,0.982,Catcher,0
TERRY_FRANCONA,10,708,1731,163,474,74,6,16,143,65,119,0.27399999999999997,0.302,0.35100000000000003,0.992,First_base,0
ELBIE_FLETCHER,12,1415,4879,723,1323,228,58,79,616,851,495,0.271,0.384,0.39,0.993,First_base,0
JOHNNY_ROMANO,10,905,2767,355,706,112,10,129,417,414,485,0.255,0.358,0.44299999999999995,0.99,Catcher,0
TERRY_TURNER,17,1659,5921,699,1499,207,77,8,528,435,156,0.253,0.308,0.318,0.9520000000000001,Shortstop,0
TOM_BROWN,17,1786,7363,1521,1952,239,138,64,529,748,708,0.265,0.337,0.361,0.89,Outfield,0
MIKE_FITZGERALD,10,848,2316,220,545,95,9,48,293,292,432,0.235,0.32299999999999995,0.34600000000000003,0.99,Catcher,0
SHERRY_MAGEE,16,2087,7441,1112,2169,425,166,83,1176,736,359,0.29100000000000004,0.363,0.42700000000000005,0.97,Outfield,0
BILL_DAHLEN,21,2443,9031,1589,2457,413,163,84,1233,1064,269,0.272,0.35700000000000004,0.382,0.927,Shortstop,0
ELSTON_HOWARD,14,1605,5363,619,1471,218,50,167,762,373,786,0.27399999999999997,0.325,0.42700000000000005,0.993,Catcher,0
CLIFF_JOHNSON,15,1369,3945,539,1016,188,10,196,699,568,719,0.258,0.358,0.45899999999999996,0.993,Designated_hitter,0
BOB_BAILEY,17,1931,6082,772,1564,234,43,189,773,852,1126,0.257,0.35,0.40299999999999997,0.946,Third_base,0
HICK_CARPENTER,12,1118,4638,720,1201,142,47,18,204,111,91,0.259,0.281,0.321,0.853,Third_base,0
BOB_HORNER,10,1020,3777,560,1047,169,8,218,685,369,512,0.27699999999999997,0.344,0.499,0.946,Third_base,0
MAX_VENABLE,12,727,1397,176,337,57,17,18,128,120,218,0.24100000000000002,0.304,0.345,0.982,Outfield,0
MERV_RETTENMUND,13,1023,2555,393,693,114,16,66,329,445,382,0.271,0.38299999999999995,0.406,0.985,Outfield,0
BING_MILLER,16,1820,6212,946,1936,389,96,116,990,383,340,0.312,0.359,0.461,0.971,Outfield,0
BUTCH_HENLINE,11,740,2101,258,611,96,21,40,268,192,156,0.29100000000000004,0.361,0.414,0.971,Catcher,0
RAY_BOONE,13,1373,4589,645,1260,162,46,151,737,608,463,0.275,0.363,0.429,0.958,Third_base,0
ROY_McMILLAN,16,2093,6752,739,1639,253,35,68,594,665,711,0.243,0.316,0.321,0.972,Shortstop,0
GEORGE_GIBSON,14,1213,3776,295,893,142,49,15,345,286,132,0.23600000000000002,0.295,0.312,0.977,Catcher,0
PETE_FOX,13,1461,5636,895,1678,314,75,65,694,392,471,0.298,0.34700000000000003,0.415,0.977,Outfield,0
ERIC_McNAIR,14,1251,4519,592,1240,229,29,82,633,261,328,0.27399999999999997,0.318,0.392,0.9490000000000001,Shortstop,0
POP_SNYDER,15,797,3122,355,737,110,39,7,142,75,118,0.23600000000000002,0.256,0.303,0.904,Catcher,0
RICH_GEDMAN,13,1033,3159,331,795,176,12,88,382,236,509,0.252,0.307,0.39899999999999997,0.9840000000000001,Catcher,0
DON_PAVLETICH,12,536,1373,163,349,73,8,46,193,148,237,0.254,0.33,0.42,0.983,Catcher,0
WALT_DROPO,13,1288,4124,478,1113,168,22,152,704,328,582,0.27,0.327,0.43200000000000005,0.992,First_base,0
GEE_WALKER,15,1784,6771,954,1991,399,76,124,997,330,600,0.294,0.331,0.43,0.961,Outfield,0
ABNER_DALRYMPLE,12,951,4172,813,1202,217,81,43,407,204,359,0.28800000000000003,0.32299999999999995,0.41,0.863,Outfield,0
ORLANDO_CEPEDA,17,2124,7927,1131,2351,417,27,379,1365,588,1169,0.297,0.353,0.499,0.99,First_base,2
JACK_SMITH,15,1406,4532,783,1301,182,71,40,382,334,348,0.287,0.33899999999999997,0.385,0.961,Outfield,0
ROWLAND_OFFICE,11,899,2413,259,626,101,11,32,242,189,311,0.259,0.317,0.35,0.985,Outfield,0
BOB_SWIFT,14,1001,2750,212,635,86,3,14,238,324,233,0.231,0.313,0.28,0.985,Catcher,0
EDDIE_KASKO,10,1077,3546,411,935,146,13,22,261,265,353,0.264,0.318,0.331,0.971,Shortstop,0
BILL_VIRDON,12,1583,5980,735,1596,237,81,91,502,442,647,0.267,0.318,0.379,0.982,Outfield,0
ROCKY_COLAVITO,14,1841,6503,971,1730,283,21,374,1159,951,880,0.266,0.36200000000000004,0.489,0.98,Outfield,0
JOE_JUDGE,20,2171,7898,1184,2352,433,159,71,1034,965,478,0.298,0.37799999999999995,0.42,0.993,First_base,0
BOILERYARD_CLARKE,13,950,3346,394,858,111,32,20,429,176,58,0.256,0.311,0.327,0.9470000000000001,Catcher,0
BOBBY_WALLACE,25,2383,8618,1057,2309,391,143,34,1121,774,79,0.268,0.331,0.358,0.938,Shortstop,2
MARTY_BARRETT,10,941,3378,418,938,163,9,18,314,304,209,0.278,0.34,0.34700000000000003,0.986,Second_base,0
BILL_SKOWRON,14,1658,5547,681,1566,243,53,211,888,383,870,0.282,0.335,0.45899999999999996,0.992,First_base,0
JOHNNY_CALLISON,16,1886,6652,926,1757,321,89,226,840,650,1064,0.264,0.33299999999999996,0.441,0.9840000000000001,Outfield,0
BUCK_JORDAN,10,811,2980,396,890,153,35,17,281,182,109,0.299,0.34,0.391,0.99,First_base,0
FRED_STANLEY,14,816,1650,197,356,38,5,10,120,196,243,0.21600000000000003,0.302,0.263,0.971,Shortstop,0
DAVY_JONES,14,1089,3772,643,1020,98,40,9,289,478,16,0.27,0.35600000000000004,0.325,0.9620000000000001,Outfield,0
MARK_BELANGER,18,2016,5784,676,1316,175,33,20,389,576,839,0.228,0.302,0.28,0.977,Shortstop,0
CLYDE_McCULLOUGH,15,1098,3121,308,785,121,28,52,339,265,398,0.252,0.314,0.358,0.9840000000000001,Catcher,0
DALE_LONG,10,1013,3020,384,805,135,33,132,467,353,460,0.267,0.345,0.46399999999999997,0.988,First_base,0
HANK_AARON,23,3298,12364,2174,3771,624,98,755,2297,1402,1383,0.305,0.377,0.555,0.98,Outfield,1
DAVY_FORCE,10,768,2950,323,623,80,15,1,209,131,261,0.21100000000000002,0.245,0.249,0.9079999999999999,Shortstop,0
CLYDE_SUKEFORTH,10,486,1237,122,326,50,14,2,96,95,57,0.264,0.319,0.331,0.9740000000000001,Catcher,0
WALLY_PIPP,15,1872,6914,974,1941,311,148,90,996,596,551,0.281,0.341,0.408,0.992,First_base,0
TERRY_KENNEDY,14,1491,4979,474,1313,244,12,113,628,365,855,0.264,0.316,0.386,0.985,Catcher,0
JOHN_LOWENSTEIN,16,1368,3476,510,881,137,18,116,441,446,596,0.253,0.34,0.40299999999999997,0.9840000000000001,Outfield,0
JACK_BURDOCK,14,960,3873,578,944,131,40,15,390,128,305,0.244,0.27,0.31,0.912,Second_base,0
JIM_LANDIS,11,1346,4288,625,1061,169,50,93,467,588,767,0.247,0.34600000000000003,0.375,0.9890000000000001,Outfield,0
GEORGE_KELLY,16,1622,5993,819,1778,337,76,148,1020,386,694,0.297,0.342,0.452,0.992,First_base,2
LEE_WALLS,10,902,2558,331,670,88,31,66,284,245,470,0.262,0.33,0.39799999999999996,0.977,Outfield,0
HARRY_RICE,10,1034,3740,620,1118,186,63,48,506,376,194,0.299,0.368,0.42100000000000004,0.966,Outfield,0
