attr1,attr2,attr3,attr4,attr5,attr6,class
0.72123014,2.3830281,-0.36622367,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.27101028,-0.16496678,-0.36622367,-0.85955255,-0.37786573,-0.94572324,0
0.80829297,0.96747539,0.2198366,1.4662045,-0.37786573,0.88863449,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.46258239,0.34817108,-0.41130523,0.89236022,-0.37786573,1.047084,0
0.43954631,0.12256737,-0.050652758,1.0130363000000002,0.89627841,1.0227071,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
8.457626600000001,-0.45250093,-0.54654991,-0.85955255,-0.37786573,-0.94572324,0
1.1729744,5.054883900000001,-0.27606055,1.7480633,-0.37786573,0.24264805,0
-0.016263186000000002,-0.45250093,-0.18589744,-0.85955255,-0.37786573,-0.94572324,0
0.51830937,1.3877176000000002,-0.32114211,-0.85955255,-0.37786573,-0.94572324,0
0.08993991800000001,-0.014564303999999998,1.7526096000000002,-0.21904109,0.26852421,1.2268632,0
1.4197654,1.7902653999999998,-0.32114211,0.80206413,1.0883976999999998,0.73323209,0
0.087229791,-0.14727237,-0.32114211,0.93750826,-0.37786573,1.1689682,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.1343231,-0.45250093,-0.230979,0.44552119,1.9527531999999999,0.70885524,0
4.6939376,1.1665375,-0.32114211,4.5615879,0.98178548,1.1567798,1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.24932926,-0.24459162,-0.27606055,0.2969968,-0.37786573,0.96785924,0
-0.18649304,-0.4038413,0.2198366,0.66915168,0.54753339,1.0440369,0
2.7953242,3.373915,-0.41130523,1.9754912,1.2398871,0.59306522,0
1.2600373,1.2417387,-0.14081588,2.5797155,-0.37786573,0.75456183,0
0.39957193,0.35259468,-0.230979,0.53117589,-0.37786573,0.56868837,0
-0.039976797,-0.33306367,-0.0055711987,0.50881284,1.2684663,1.0806022,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.78169985,-0.45250093,-0.50146835,-0.85955255,-0.37786573,-0.94572324,0
-0.078934874,-0.31979286,1.4821203,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.17700275,-0.33306367,0.26491816,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.022356125,-0.38172329,-0.050652758,1.3067095,0.65829418,1.2146748,0
0.04861048,-0.094189144,-0.27606055,0.6121892,-0.37786573,0.92215265,0
-0.15227769,-0.24016802,0.12967348,1.4096639,1.4843247,0.97090635,0
1.201092,-0.44807732,-0.14081588,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.01575019,-0.39057049,0.49032595,0.53961477,-0.37786573,1.2969467,0
0.079438176,0.056213332000000005,0.039510361,-0.2068047,-0.37786573,1.3761714,0
0.02438872,-0.19150839,0.30999972,-0.85955255,-0.37786573,-0.94572324,0
1.1465507,-0.20477920000000002,-0.45638679,1.9143093,4.2067220999999995,1.2116277,1
0.75019462,5.041613099999999,0.12967348,-0.85955255,-0.37786573,-0.94572324,0
-0.18344415,-0.24901522,3.2853826,-0.38317742,-0.37786573,1.1537327,0
-0.35858611,-0.14284877,0.039510361,0.57294838,-0.37786573,1.0348956,0
0.11636366,-0.23574442,0.17475504,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.18310054,0.30393506,0.80589687,-0.85955255,-0.37786573,-0.94572324,0
-0.52085496,-0.36845248,6.080439299999999,1.0805474,0.12645144,0.62353628,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.92635288,0.76398969,-0.32114211,1.4721117,-0.37786573,0.67838418,0
0.47714932,0.23758102,-0.36622367,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.030486506,-0.11630716,1.3919571000000002,-0.12958889999999998,-0.37786573,1.2847583,0
0.66025228,-0.37729969,-0.41130523,1.7084005000000002,3.5208546999999997,1.4005483,1
-0.022022206000000003,0.20661581,1.0763862,0.51429812,0.60169555,0.74846762,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.0050790648,-0.35075807,-0.050652758,0.46661841,-0.37786573,1.4096896,0
